"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"435 kHz";"472 kHz";"MARITIME MOBILE(5.79), Aeronautical radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79), Aeronautical radionavigation";"5.82, ECA36";"";"Maritime communications";"EN 300 338";"Frequency Assignment plan GE85"
"435 kHz";"472 kHz";"MARITIME MOBILE(5.79), Aeronautical radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79), Aeronautical radionavigation";"5.82, ECA36";"";"Maritime military systems";"";""
"435 kHz";"472 kHz";"MARITIME MOBILE(5.79), Aeronautical radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79), Aeronautical radionavigation";"5.82, ECA36";"ERC/REC 70-03";"RFID";"EN 300 330";"within frequency range 400-600 kHz"
"435 kHz";"472 kHz";"MARITIME MOBILE(5.79), Aeronautical radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79), Aeronautical radionavigation";"5.82, ECA36";"ERC/REC 70-03";"ULP-AID";"EN 302 536";""

"472 kHz";"479 kHz";"MARITIME MOBILE(5.79), Aeronautical radionavigation(5.77, 5.80), Amateur(5.80A)";"5.80B, 5.82";"MARITIME MOBILE(5.79), Aeronautical radionavigation, Amateur(5.80A)";"5.80B, 5.82, ECA36";"";"Aeronautical military systems";"";""
"472 kHz";"479 kHz";"MARITIME MOBILE(5.79), Aeronautical radionavigation(5.77, 5.80), Amateur(5.80A)";"5.80B, 5.82";"MARITIME MOBILE(5.79), Aeronautical radionavigation, Amateur(5.80A)";"5.80B, 5.82, ECA36";"";"Amateur";"EN 301 783";""
"472 kHz";"479 kHz";"MARITIME MOBILE(5.79), Aeronautical radionavigation(5.77, 5.80), Amateur(5.80A)";"5.80B, 5.82";"MARITIME MOBILE(5.79), Aeronautical radionavigation, Amateur(5.80A)";"5.80B, 5.82, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz. "
"472 kHz";"479 kHz";"MARITIME MOBILE(5.79), Aeronautical radionavigation(5.77, 5.80), Amateur(5.80A)";"5.80B, 5.82";"MARITIME MOBILE(5.79), Aeronautical radionavigation, Amateur(5.80A)";"5.80B, 5.82, ECA36";"";"Maritime communications";"EN 300 338";"Frequency Assignment plan GE85"
"472 kHz";"479 kHz";"MARITIME MOBILE(5.79), Aeronautical radionavigation(5.77, 5.80), Amateur(5.80A)";"5.80B, 5.82";"MARITIME MOBILE(5.79), Aeronautical radionavigation, Amateur(5.80A)";"5.80B, 5.82, ECA36";"";"Maritime military systems";"";""
"472 kHz";"479 kHz";"MARITIME MOBILE(5.79), Aeronautical radionavigation(5.77, 5.80), Amateur(5.80A)";"5.80B, 5.82";"MARITIME MOBILE(5.79), Aeronautical radionavigation, Amateur(5.80A)";"5.80B, 5.82, ECA36";"ERC/REC 70-03";"RFID";"EN 300 330";"within frequency range 400-600 kHz"
"472 kHz";"479 kHz";"MARITIME MOBILE(5.79), Aeronautical radionavigation(5.77, 5.80), Amateur(5.80A)";"5.80B, 5.82";"MARITIME MOBILE(5.79), Aeronautical radionavigation, Amateur(5.80A)";"5.80B, 5.82, ECA36";"ERC/REC 70-03";"ULP-AID";"EN 302 536";""

"479 kHz";"495 kHz";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation";"5.82, ECA36";"";"Aeronautical military systems";"";""
"479 kHz";"495 kHz";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation";"5.82, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz. "
"479 kHz";"495 kHz";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation";"5.82, ECA36";"";"Maritime communications";"EN 300 338";"Frequency Assignment plan GE85"
"479 kHz";"495 kHz";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation";"5.82, ECA36";"";"Maritime military systems";"";""
"479 kHz";"495 kHz";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation";"5.82, ECA36";"";"NAVTEX";"EN 300 065";"490 kHz: NAVTEX transmission in national language"
"479 kHz";"495 kHz";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation";"5.82, ECA36";"ERC/REC 70-03";"RFID";"EN 300 330";"within frequency range 400-600 kHz"
"479 kHz";"495 kHz";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79, 5.79A), Aeronautical radionavigation";"5.82, ECA36";"ERC/REC 70-03";"ULP-AID";"EN 302 536";""

"495 kHz";"505 kHz";"MARITIME MOBILE(5.82C, 5.82D)";"";"MOBILE";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz. "
"495 kHz";"505 kHz";"MARITIME MOBILE(5.82C, 5.82D)";"";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"495 kHz";"505 kHz";"MARITIME MOBILE(5.82C, 5.82D)";"";"MOBILE";"ECA36";"ERC/REC 70-03";"RFID";"EN 300 330";"within frequency range 400-600 kHz"
"495 kHz";"505 kHz";"MARITIME MOBILE(5.82C, 5.82D)";"";"MOBILE";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 302 536";""

"505 kHz";"526.5 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"ECA36";"";"Aeronautical military systems";"";""
"505 kHz";"526.5 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"ECA36";"";"Beacons (aeronautical)";"";"Frequency Assignment plan GE85"
"505 kHz";"526.5 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz. "
"505 kHz";"526.5 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"ECA36";"";"Maritime communications";"EN 300 338";"Frequency Assignment plan GE85"
"505 kHz";"526.5 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"ECA36";"";"Maritime military systems";"";""
"505 kHz";"526.5 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"ECA36";"";"NAVTEX";"EN 300 065";"518 kHz: NAVTEX transmission in national language"
"505 kHz";"526.5 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79, 5.79A, 5.84)";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 302 536";""

"526.5 kHz";"1606.5 kHz";"BROADCASTING";"5.87, 5.87A";"BROADCASTING";"";"";"Broadcasting";"EN 302 017, EN 302 245";"Frequency Assignment plan GE75. Digital systems to be introduced "
"526.5 kHz";"1606.5 kHz";"BROADCASTING";"5.87, 5.87A";"BROADCASTING";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz. "
"526.5 kHz";"1606.5 kHz";"BROADCASTING";"5.87, 5.87A";"BROADCASTING";"";"ERC/REC 70-03";"RFID";"EN 300 330";"within frequency range 400-600 kHz"
"526.5 kHz";"1606.5 kHz";"BROADCASTING";"5.87, 5.87A";"BROADCASTING";"";"ERC/REC 70-03";"ULP-AID";"EN 302 536";"within frequency range 315-600 kHz"

"1606.5 kHz";"1625 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.92";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90), Radiolocation";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"1606.5 kHz";"1625 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.92";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90), Radiolocation";"ECA36";"";"Land military systems";"";""
"1606.5 kHz";"1625 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.92";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90), Radiolocation";"ECA36";"";"Maritime communications";"EN 303 402";"Frequency Assignment plan GE85"
"1606.5 kHz";"1625 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.92";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90), Radiolocation";"ECA36";"";"Maritime military systems";"";""

"1625 kHz";"1635 kHz";"RADIOLOCATION";"5.93";"RADIOLOCATION";"5.93, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"1625 kHz";"1635 kHz";"RADIOLOCATION";"5.93";"RADIOLOCATION";"5.93, ECA36";"";"Radiolocation (military)";"";""

"1635 kHz";"1800 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.92, 5.96";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.96, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"1635 kHz";"1800 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.92, 5.96";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.96, ECA36";"";"Land military systems";"";""
"1635 kHz";"1800 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.92, 5.96";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.96, ECA36";"";"Maritime communications";"EN 303 402";"Frequency Assignment plan GE85"
"1635 kHz";"1800 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.92, 5.96";"FIXED, LAND MOBILE, MARITIME MOBILE(5.90)";"5.96, ECA36";"";"Maritime military systems";"";""

"1800 kHz";"1810 kHz";"RADIOLOCATION";"5.93";"RADIOLOCATION";"5.93, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"1800 kHz";"1810 kHz";"RADIOLOCATION";"5.93";"RADIOLOCATION";"5.93, ECA36";"";"Radiolocation (military)";"";""

"1810 kHz";"1850 kHz";"AMATEUR";"5.98, 5.99, 5.100";"AMATEUR";"5.98, 5.100";"";"Amateur";"EN 301 783";"Within the band 1810-2000 kHz"
"1810 kHz";"1850 kHz";"AMATEUR";"5.98, 5.99, 5.100";"AMATEUR";"5.98, 5.100";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"

"1850 kHz";"2000 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.92, 5.96, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE, Amateur";"5.96, 5.103, ECA36";"";"Amateur";"EN 301 783";"Within the band 1810-2000 kHz"
"1850 kHz";"2000 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.92, 5.96, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE, Amateur";"5.96, 5.103, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"1850 kHz";"2000 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.92, 5.96, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE, Amateur";"5.96, 5.103, ECA36";"";"Land military systems";"";""
"1850 kHz";"2000 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.92, 5.96, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE, Amateur";"5.96, 5.103, ECA36";"";"Maritime communications";"EN 303 402";""
"1850 kHz";"2000 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.92, 5.96, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE, Amateur";"5.96, 5.103, ECA36";"";"Maritime military systems";"";""

"2000 kHz";"2025 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2000 kHz";"2025 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"";"Land military systems";"";""
"2000 kHz";"2025 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"";"Maritime communications";"EN 303 402";""
"2000 kHz";"2025 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"";"Maritime military systems";"";""

"2025 kHz";"2045 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R), Meteorological aids(5.104)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, 5.104, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2025 kHz";"2045 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R), Meteorological aids(5.104)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, 5.104, ECA36";"";"Land military systems";"";""
"2025 kHz";"2045 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R), Meteorological aids(5.104)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, 5.104, ECA36";"";"Maritime communications";"EN 303 402";""
"2025 kHz";"2045 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R), Meteorological aids(5.104)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, 5.104, ECA36";"";"Maritime military systems";"";""
"2025 kHz";"2045 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R), Meteorological aids(5.104)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, 5.104, ECA36";"";"Oceanographic buoys";"";"Meteorological"

"2045 kHz";"2160 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE";"5.92";"FIXED, LAND MOBILE, MARITIME MOBILE";"5.92, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2045 kHz";"2160 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE";"5.92";"FIXED, LAND MOBILE, MARITIME MOBILE";"5.92, ECA36";"";"Land military systems";"";""
"2045 kHz";"2160 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE";"5.92";"FIXED, LAND MOBILE, MARITIME MOBILE";"5.92, ECA36";"";"Maritime communications";"EN 303 402";"Frequency Assignment plan GE85"
"2045 kHz";"2160 kHz";"FIXED, LAND MOBILE, MARITIME MOBILE";"5.92";"FIXED, LAND MOBILE, MARITIME MOBILE";"5.92, ECA36";"";"Maritime military systems";"";""

"2160 kHz";"2170 kHz";"RADIOLOCATION";"5.93, 5.107";"RADIOLOCATION";"5.93, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2160 kHz";"2170 kHz";"RADIOLOCATION";"5.93, 5.107";"RADIOLOCATION";"5.93, ECA36";"";"Radiolocation (military)";"";""

"2170 kHz";"2173.5 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2170 kHz";"2173.5 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"ECA36";"";"Maritime communications";"EN 303 402";""
"2170 kHz";"2173.5 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"ECA36";"";"Maritime military systems";"";""

"2173.5 kHz";"2190.5 kHz";"MOBILE (DISTRESS AND CALLING)";"5.108, 5.109, 5.110, 5.111";"MOBILE (DISTRESS AND CALLING)";"5.108, 5.109, 5.110, 5.111, ECA36";"";"DSC";"EN 302 885, EN 303 402";"2187.5 kHz (DSC for distress and calling)"
"2173.5 kHz";"2190.5 kHz";"MOBILE (DISTRESS AND CALLING)";"5.108, 5.109, 5.110, 5.111";"MOBILE (DISTRESS AND CALLING)";"5.108, 5.109, 5.110, 5.111, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2173.5 kHz";"2190.5 kHz";"MOBILE (DISTRESS AND CALLING)";"5.108, 5.109, 5.110, 5.111";"MOBILE (DISTRESS AND CALLING)";"5.108, 5.109, 5.110, 5.111, ECA36";"";"Maritime communications";"EN 303 402";"2182 kHz (Radiotelephony distress and calling). 2174.5 kHz (Telex distress traffic)"

"2190.5 kHz";"2194 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2190.5 kHz";"2194 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"ECA36";"";"Maritime communications";"EN 303 402";""
"2190.5 kHz";"2194 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"ECA36";"";"Maritime military systems";"";""

"2194 kHz";"2300 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, 5.112";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2194 kHz";"2300 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, 5.112";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"";"Land military systems";"";""
"2194 kHz";"2300 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, 5.112";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"";"Maritime communications";"EN 303 402";""
"2194 kHz";"2300 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, 5.112";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"";"Maritime military systems";"";""

"2300 kHz";"2498 kHz";"BROADCASTING(5.113), FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2300 kHz";"2498 kHz";"BROADCASTING(5.113), FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"";"Land military systems";"";""
"2300 kHz";"2498 kHz";"BROADCASTING(5.113), FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"";"Maritime communications";"EN 303 402";""
"2300 kHz";"2498 kHz";"BROADCASTING(5.113), FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.103, ECA36";"";"Maritime military systems";"";""

"2498 kHz";"2501 kHz";"STANDARD FREQUENCY AND TIME SIGNAL (2 500 KHZ)";"";"STANDARD FREQUENCY AND TIME SIGNAL (2 500 KHZ)";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"

"2501 kHz";"2502 kHz";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"

"2502 kHz";"2625 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, 5.114";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2502 kHz";"2625 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, 5.114";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, ECA36";"";"Land military systems";"";""
"2502 kHz";"2625 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, 5.114";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, ECA36";"";"Maritime military systems";"";""

"2625 kHz";"2650 kHz";"MARITIME MOBILE, MARITIME RADIONAVIGATION";"5.92";"MARITIME MOBILE, MARITIME RADIONAVIGATION";"5.92, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2625 kHz";"2650 kHz";"MARITIME MOBILE, MARITIME RADIONAVIGATION";"5.92";"MARITIME MOBILE, MARITIME RADIONAVIGATION";"5.92, ECA36";"";"Maritime communications";"EN 303 402";""
"2625 kHz";"2650 kHz";"MARITIME MOBILE, MARITIME RADIONAVIGATION";"5.92";"MARITIME MOBILE, MARITIME RADIONAVIGATION";"5.92, ECA36";"";"Maritime military systems";"";""

"2650 kHz";"2850 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2650 kHz";"2850 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, ECA36";"";"Land military systems";"";""
"2650 kHz";"2850 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.92, 5.103, ECA36";"";"Maritime military systems";"";""

"2850 kHz";"3025 kHz";"AERONAUTICAL MOBILE (R)";"5.111, 5.115";"AERONAUTICAL MOBILE (OR)";"5.111, 5.115, ECA36";"";"Aeronautical communications";"";"Appendix 27 Allotment Plan"
"2850 kHz";"3025 kHz";"AERONAUTICAL MOBILE (R)";"5.111, 5.115";"AERONAUTICAL MOBILE (OR)";"5.111, 5.115, ECA36";"";"Aeronautical military systems";"";""
"2850 kHz";"3025 kHz";"AERONAUTICAL MOBILE (R)";"5.111, 5.115";"AERONAUTICAL MOBILE (OR)";"5.111, 5.115, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"2850 kHz";"3025 kHz";"AERONAUTICAL MOBILE (R)";"5.111, 5.115";"AERONAUTICAL MOBILE (OR)";"5.111, 5.115, ECA36";"";"SAR (communications)";"EN 303 402";"3023 kHz (Aeronautical/Maritime radiotelephony SAR coordination)"

"3025 kHz";"3155 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"";"Aeronautical communications";"";"Appendix 26 Allotment Plan"
"3025 kHz";"3155 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"";"Aeronautical military systems";"";""
"3025 kHz";"3155 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"

"3155 kHz";"3200 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, 5.117";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 3155-3400 kHz; and within the band 148.5 kHz - 30 MHz"
"3155 kHz";"3200 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, 5.117";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, ECA36";"";"Land military systems";"";""
"3155 kHz";"3200 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, 5.117";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, ECA36";"";"Maritime communications";"EN 303 402";""
"3155 kHz";"3200 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, 5.117";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, ECA36";"";"Maritime military systems";"";""

"3200 kHz";"3230 kHz";"BROADCASTING(5.113), FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 3155-3400 kHz; and within the band 148.5 kHz - 30 MHz"
"3200 kHz";"3230 kHz";"BROADCASTING(5.113), FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, ECA36";"";"Land military systems";"";""
"3200 kHz";"3230 kHz";"BROADCASTING(5.113), FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, ECA36";"";"Maritime communications";"EN 303 402";""
"3200 kHz";"3230 kHz";"BROADCASTING(5.113), FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE (R)";"5.116, ECA36";"";"Maritime military systems";"";""

